Submission ID,Item ID,Anonymized Student ID,Date/Time Response Submitted,Response,Assessment Details,Assessment Scores,Date/Time Final Score Given,Final Score Points Earned,Final Score Points Possible,Feedback Statements Selected,Feedback on Peer Assessments
84083882-4c8e-40ef-b8b7-d05bf5436294,14982,4e775a2c3badb950b8b333683b149226,2020-05-27 23:15:05.672922+00:00,{u'parts': [{u'text': u'Hola soy el Diego'}]},"Assessment #17417
-- scored_at: 2020-05-27 23:18:18.107004+00:00
-- type: ST
-- scorer_id: 4e775a2c3badb950b8b333683b149226
","Assessment #17417
-- Calificación: Parcialmente correcta (6)
",2020-05-27 23:18:18.142631+00:00,6,12,,
399d853f-cea7-4a3e-8fbe-8b12952d5b67,14979,583f21bb998c8bcf9525739f15bcd95c,2020-05-27 23:03:49.840785+00:00,"{u'parts': [{u'text': u'Soy el usuario de prueba, no tengo que responder a esto'}]}","Assessment #17418
-- scored_at: 2020-05-27 23:19:07.767866+00:00
-- type: ST
-- scorer_id: 4e775a2c3badb950b8b333683b149226
Assessment #17416
-- scored_at: 2020-05-27 23:17:57.305437+00:00
-- type: ST
-- scorer_id: 4e775a2c3badb950b8b333683b149226
-- overall_feedback: Exacto
","Assessment #17418
-- Calificación: Correcta (12)
Assessment #17416
-- Calificación: Correcta (12)
",2020-05-27 23:17:57.360706+00:00,12,12,,
0878e23e-faf3-4359-bcc7-aa26fb5e5e41,12378,1211af0105844e26930e5f362e001cbd,2020-04-07 16:33:17.624710+00:00,{u'parts': [{u'text': u'jaljalalkslks'}]},,,,,,,
815a803e-48c0-4694-ab5a-124dd83e6390,12271,a90c378bde593b742c0a9b8f2654360f,2020-04-02 00:33:51.077356+00:00,{u'parts': [{u'text': u'asdasdasd'}]},,,,,,,
266d3853-e94d-4edc-a1c0-a4f415184cb9,12270,a90c378bde593b742c0a9b8f2654360f,2020-04-02 00:30:44.102686+00:00,{u'parts': [{u'text': u'asdadasdasdsadasdasd'}]},"Assessment #17415
-- scored_at: 2020-05-27 23:17:46.327169+00:00
-- type: ST
-- scorer_id: 4e775a2c3badb950b8b333683b149226
-- overall_feedback: Lo siento thomas, reprobado
","Assessment #17415
-- Calificación: Incorrecta (0)
",2020-05-27 23:17:46.360190+00:00,0,12,,
a3f20cc2-34e7-49ff-ac2f-7ddfa92e7c9a,12250,583f21bb998c8bcf9525739f15bcd95c,2020-03-31 17:53:11.012922+00:00,{u'parts': [{u'text': u'No es necesario soy el usuario de prueba'}]},,,,,,,
ef7aab49-a474-4f62-9815-f26e45a111b2,12242,583f21bb998c8bcf9525739f15bcd95c,2020-03-30 20:11:27.957430+00:00,{u'parts': [{u'text': u'los circuitos son todos defectuosos'}]},,,,,,,
48548e0c-08a5-4071-927d-63ca49147819,12210,1211af0105844e26930e5f362e001cbd,2020-03-24 16:29:02.184322+00:00,{u'parts': [{u'text': u'qojwoiowie'}]},,,,,,,
685402d4-8a22-4dc3-8895-3bf82f416d5a,12193,1211af0105844e26930e5f362e001cbd,2020-03-19 16:50:08.653575+00:00,"{u'parts': [{u'text': u'Mart\xedn, Andr\xe9s, Catalina'}]}","Assessment #17414
-- scored_at: 2020-05-27 23:17:24.392357+00:00
-- type: ST
-- scorer_id: 4e775a2c3badb950b8b333683b149226
","Assessment #17414
-- Calificación: Correcta (12)
",2020-05-27 23:17:24.440801+00:00,12,12,,
8adaaedb-f3e2-4ac6-affe-827bb66b5e58,11390,0b92bd26370543736f497916bf7f2701,2020-03-12 18:24:07.832937+00:00,{u'parts': [{u'text': u'creo que s\xed pero no\n\no tal vez quiz\xe1s'}]},"Assessment #17144
-- scored_at: 2020-03-12 18:24:44.733291+00:00
-- type: ST
-- scorer_id: 0b92bd26370543736f497916bf7f2701
","Assessment #17144
-- Calificación: Correcta (12)
",2020-03-12 18:24:44.779344+00:00,12,12,,
8721a09c-1b6a-460c-8245-0147518a24f1,11385,student,2020-01-17 13:10:08.512997+00:00,{u'parts': [{u'text': u'creo que si'}]},,,,,,,
b9c1df62-4dc0-4fe6-a957-647cac4dfd94,11370,0b92bd26370543736f497916bf7f2701,2020-01-16 20:42:34.577587+00:00,{u'parts': [{u'text': u'La de Mat\xedn y la de Andr\xe9s blablabla etc'}]},"Assessment #16050
-- scored_at: 2020-01-16 20:46:37.166240+00:00
-- type: ST
-- scorer_id: 0b92bd26370543736f497916bf7f2701
-- overall_feedback: Comentario adicional
","Assessment #16050
-- Calificación: Parcialmente correcta (1)
-- feedback: Comentario normal
",2020-01-16 20:46:37.213715+00:00,1,2,,
