Submission ID,Item ID,Anonymized Student ID,Date/Time Response Submitted,Response,Assessment Details,Assessment Scores,Date/Time Final Score Given,Final Score Points Earned,Final Score Points Possible,Feedback Statements Selected,Feedback on Peer Assessments
4919b44e-c6c6-40f3-9a50-f8c1f81350bd,16222,97ac708c3cc566d72d3e7552019f944b,2020-06-20 02:45:18.385897+00:00,{u'parts': [{u'text': u'dcvb jhgfdsxcv bnmkjhygftd'}]},"Assessment #18702
-- scored_at: 2020-06-21 00:19:24.353378+00:00
-- type: ST
-- scorer_id: 7a897af38ad29938839234e2b57b1ab5
","Assessment #18702
-- Calificación: Correcta (12)
",2020-06-21 00:19:24.387405+00:00,12,12,,
0cfc5e65-4f4a-4f32-bae8-0a267e8ef5e7,16221,97ac708c3cc566d72d3e7552019f944b,2020-06-20 02:43:15.452141+00:00,{u'parts': [{u'text': u'sc vbnmjhgtfrdescv bnmjhgytfrdeswdcv'}]},"Assessment #18701
-- scored_at: 2020-06-21 00:18:57.352806+00:00
-- type: ST
-- scorer_id: 7a897af38ad29938839234e2b57b1ab5
","Assessment #18701
-- Calificación: Parcialmente correcta (8)
",2020-06-21 00:18:57.391676+00:00,8,12,,
7b976f2a-7301-483e-891f-3e19188b3227,16220,97ac708c3cc566d72d3e7552019f944b,2020-06-20 02:41:26.261691+00:00,{u'parts': [{u'text': u'dcvbnjhgtfrdfvbnmjhygtfredfvb'}]},"Assessment #18700
-- scored_at: 2020-06-21 00:18:37.400977+00:00
-- type: ST
-- scorer_id: 7a897af38ad29938839234e2b57b1ab5
","Assessment #18700
-- Calificación: Parcialmente correcta (8)
",2020-06-21 00:18:37.437018+00:00,8,12,,
9dbe9417-c59c-46db-9fa2-5d5d72c6d1a3,16212,97ac708c3cc566d72d3e7552019f944b,2020-06-19 21:36:13.910351+00:00,{u'parts': [{u'text': u'pqrjwvnk vfpbnpoinfponfepbokn'}]},"Assessment #18699
-- scored_at: 2020-06-21 00:18:19.644875+00:00
-- type: ST
-- scorer_id: 7a897af38ad29938839234e2b57b1ab5
","Assessment #18699
-- Calificación: Correcta (12)
",2020-06-21 00:18:19.677896+00:00,12,12,,
2fc323a1-2004-4245-8282-f88106b154e8,16206,97ac708c3cc566d72d3e7552019f944b,2020-06-19 20:38:05.315091+00:00,"{u'parts': [{u'text': u'lkh fbljekdvf\xf1k .m,v'}]}","Assessment #18698
-- scored_at: 2020-06-21 00:15:58.124584+00:00
-- type: ST
-- scorer_id: 7a897af38ad29938839234e2b57b1ab5
","Assessment #18698
-- Calificación: Parcialmente correcta (8)
",2020-06-21 00:15:58.164253+00:00,8,12,,
5663a8a4-f671-4985-9eb9-55f8634045c9,16205,97ac708c3cc566d72d3e7552019f944b,2020-06-19 20:24:20.441094+00:00,{u'parts': [{u'text': u'porque si y porque no'}]},"Assessment #18697
-- scored_at: 2020-06-21 00:15:31.932083+00:00
-- type: ST
-- scorer_id: 7a897af38ad29938839234e2b57b1ab5
","Assessment #18697
-- Calificación: Correcta (12)
",2020-06-21 00:15:31.965010+00:00,12,12,,
4fbb3804-0844-4314-a1d6-6379149ab6bf,16204,97ac708c3cc566d72d3e7552019f944b,2020-06-19 20:24:05.541200+00:00,{u'parts': [{u'text': u'blableblibloblu'}]},,,,,,,
d2ff2595-5550-4e13-ace3-04c70943a3c9,15556,e324b596c3664b856eb06f8d62cd8a90,2020-06-07 00:21:46.546024+00:00,{u'parts': [{u'text': u'Claudia usa la descomposici\xf3n para poder realizar la operaci\xf3n. Los n\xfameros son tachados para hacer posible la sustracci\xf3n y evitar el canje.'}]},"Assessment #18696
-- scored_at: 2020-06-21 00:15:22.632037+00:00
-- type: ST
-- scorer_id: 7a897af38ad29938839234e2b57b1ab5
","Assessment #18696
-- Calificación: Correcta (12)
",2020-06-21 00:15:22.676413+00:00,12,12,,
1d0bdd15-5321-49e3-8709-614a1ec26d48,15555,e324b596c3664b856eb06f8d62cd8a90,2020-06-07 00:19:18.963086+00:00,"{u'parts': [{u'text': u'Las actividad mas adecuada es la A porque el referente (el paquete grande de galletas equivale a 10 galletas) permite estimar. En cambio la alternativa B se presta para que los ni\xf1o cuenten, y podr\xedan confundirse al ser de un tama\xf1o distinto.'}]}",,,,,,,
0b000380-be7d-4af2-a200-29f464ff681b,15036,f0658252f1c122fe088edd69781afa6a,2020-05-29 16:31:11.503419+00:00,{u'parts': [{u'text': u'asdasdasdasd'}]},"Assessment #17448
-- scored_at: 2020-05-29 16:35:15.417774+00:00
-- type: ST
-- scorer_id: f0658252f1c122fe088edd69781afa6a
","Assessment #17448
-- Calificación: Correcta (12)
",2020-05-29 16:35:15.475690+00:00,12,12,,
9816ab3a-c88e-4274-b027-1dc404486e88,13781,f5ee56dc10db942ec72e92e32d091b95,2020-05-15 08:31:40.767664+00:00,{u'parts': [{u'text': u'fdgxg'}]},,,,,,,
9af60e61-632a-4201-9d14-ea3889d08237,10713,7a897af38ad29938839234e2b57b1ab5,2019-11-25 19:03:39.160999+00:00,{u'parts': [{u'text': u'Holi'}]},,,,,,,
c9261b0d-3d44-49cd-9c9f-a10049d2e43b,10520,f0658252f1c122fe088edd69781afa6a,2019-11-25 19:02:13.660633+00:00,{u'parts': [{u'text': u'Esta es la respuesta'}]},"Assessment #12809
-- scored_at: 2019-11-25 19:04:54.438514+00:00
-- type: ST
-- scorer_id: f0658252f1c122fe088edd69781afa6a
-- overall_feedback: esta es la primera
","Assessment #12809
-- Content: buena (3)
",2019-11-25 19:04:54.479665+00:00,3,3,,
