username,title,location,ID de la respuesta,Pregunta,Respuesta,Respuesta Correcta,block_key,state
ThomasPM,Multiple Choice,Taller 2: Simulaciones de experimentos aleatorios > Actividad 1: El problema de los nacimientos > El problema de los nacimientos #2 > Multiple Choice,,,,,block-v1:cmm+SYSMEPI01+2019_1+type@problem+block@47b394ed67eb4eed893793eb9255dc51,"{""score"": {""raw_earned"": 0, ""raw_possible"": 1}, ""seed"": 1, ""input_state"": {""47b394ed67eb4eed893793eb9255dc51_2_1"": {}}}"
jromo,Multiple Choice,Taller 2: Simulaciones de experimentos aleatorios > Actividad 1: El problema de los nacimientos > El problema de los nacimientos #2 > Multiple Choice,47b394ed67eb4eed893793eb9255dc51_2_1,Pregunta 1,a) Los estudiantes no alcanzaron a efectuar la cantidad de repeticiones planificadas por Lissette.,"b) Los estudiantes no lograron conseguir suficientes datos reales de familias con cuatro hijos., d) Los valores de las frecuencias relativas que obtuvieron en la clase no fueron buenas aproximaciones de la probabilidad teórica.	",block-v1:cmm+SYSMEPI01+2019_1+type@problem+block@47b394ed67eb4eed893793eb9255dc51,"{""correct_map"": {""47b394ed67eb4eed893793eb9255dc51_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""incorrect"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}}, ""input_state"": {""47b394ed67eb4eed893793eb9255dc51_2_1"": {}}, ""last_submission_time"": ""2020-03-31T14:31:18Z"", ""attempts"": 2, ""score"": {""raw_possible"": 1, ""raw_earned"": 0}, ""done"": true, ""student_answers"": {""47b394ed67eb4eed893793eb9255dc51_2_1"": [""choice_0""]}, ""seed"": 1}"
UsuarioPruebaCMMEDU,Multiple Choice,Taller 2: Simulaciones de experimentos aleatorios > Actividad 1: El problema de los nacimientos > El problema de los nacimientos #2 > Multiple Choice,47b394ed67eb4eed893793eb9255dc51_2_1,Pregunta 1,"b) Los estudiantes no lograron conseguir suficientes datos reales de familias con cuatro hijos., c) Los estudiantes no entendieron las indicaciones para realizar la simulación concreta., d) Los valores de las frecuencias relativas que obtuvieron en la clase no fueron buenas aproximaciones de la probabilidad teórica.	","b) Los estudiantes no lograron conseguir suficientes datos reales de familias con cuatro hijos., d) Los valores de las frecuencias relativas que obtuvieron en la clase no fueron buenas aproximaciones de la probabilidad teórica.	",block-v1:cmm+SYSMEPI01+2019_1+type@problem+block@47b394ed67eb4eed893793eb9255dc51,"{""correct_map"": {""47b394ed67eb4eed893793eb9255dc51_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""incorrect"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}}, ""input_state"": {""47b394ed67eb4eed893793eb9255dc51_2_1"": {}}, ""last_submission_time"": ""2020-03-31T14:18:48Z"", ""attempts"": 2, ""score"": {""raw_possible"": 1, ""raw_earned"": 0}, ""done"": true, ""student_answers"": {""47b394ed67eb4eed893793eb9255dc51_2_1"": [""choice_1"", ""choice_2"", ""choice_3""]}, ""seed"": 1}"
Camila_Brito,Multiple Choice,Taller 2: Simulaciones de experimentos aleatorios > Actividad 1: El problema de los nacimientos > El problema de los nacimientos #2 > Multiple Choice,,,,,block-v1:cmm+SYSMEPI01+2019_1+type@problem+block@47b394ed67eb4eed893793eb9255dc51,"{""score"": {""raw_earned"": 0, ""raw_possible"": 1}, ""seed"": 1, ""input_state"": {""47b394ed67eb4eed893793eb9255dc51_2_1"": {}}}"
ricardos,Multiple Choice,Taller 2: Simulaciones de experimentos aleatorios > Actividad 1: El problema de los nacimientos > El problema de los nacimientos #2 > Multiple Choice,,,,,block-v1:cmm+SYSMEPI01+2019_1+type@problem+block@47b394ed67eb4eed893793eb9255dc51,"{""score"": {""raw_earned"": 0, ""raw_possible"": 1}, ""seed"": 1, ""input_state"": {""47b394ed67eb4eed893793eb9255dc51_2_1"": {}}}"
Caro_Ticona,Multiple Choice,Taller 2: Simulaciones de experimentos aleatorios > Actividad 1: El problema de los nacimientos > El problema de los nacimientos #2 > Multiple Choice,,,,,block-v1:cmm+SYSMEPI01+2019_1+type@problem+block@47b394ed67eb4eed893793eb9255dc51,"{""seed"": 1, ""score"": {""raw_earned"": 0, ""raw_possible"": 1}, ""input_state"": {""47b394ed67eb4eed893793eb9255dc51_2_1"": {}}}"
Maritza,Multiple Choice,Taller 2: Simulaciones de experimentos aleatorios > Actividad 1: El problema de los nacimientos > El problema de los nacimientos #2 > Multiple Choice,47b394ed67eb4eed893793eb9255dc51_2_1,Pregunta 1,"b) Los estudiantes no lograron conseguir suficientes datos reales de familias con cuatro hijos., c) Los estudiantes no entendieron las indicaciones para realizar la simulación concreta., d) Los valores de las frecuencias relativas que obtuvieron en la clase no fueron buenas aproximaciones de la probabilidad teórica.	","b) Los estudiantes no lograron conseguir suficientes datos reales de familias con cuatro hijos., d) Los valores de las frecuencias relativas que obtuvieron en la clase no fueron buenas aproximaciones de la probabilidad teórica.	",block-v1:cmm+SYSMEPI01+2019_1+type@problem+block@47b394ed67eb4eed893793eb9255dc51,"{""correct_map"": {""47b394ed67eb4eed893793eb9255dc51_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""incorrect"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}}, ""input_state"": {""47b394ed67eb4eed893793eb9255dc51_2_1"": {}}, ""last_submission_time"": ""2020-01-08T15:56:11Z"", ""attempts"": 2, ""score"": {""raw_possible"": 1, ""raw_earned"": 0}, ""done"": true, ""student_answers"": {""47b394ed67eb4eed893793eb9255dc51_2_1"": [""choice_1"", ""choice_2"", ""choice_3""]}, ""seed"": 1}"
stefanmoss,Multiple Choice,Taller 2: Simulaciones de experimentos aleatorios > Actividad 1: El problema de los nacimientos > El problema de los nacimientos #2 > Multiple Choice,47b394ed67eb4eed893793eb9255dc51_2_1,Pregunta 1,a) Los estudiantes no alcanzaron a efectuar la cantidad de repeticiones planificadas por Lissette.,"b) Los estudiantes no lograron conseguir suficientes datos reales de familias con cuatro hijos., d) Los valores de las frecuencias relativas que obtuvieron en la clase no fueron buenas aproximaciones de la probabilidad teórica.	",block-v1:cmm+SYSMEPI01+2019_1+type@problem+block@47b394ed67eb4eed893793eb9255dc51,"{""correct_map"": {""47b394ed67eb4eed893793eb9255dc51_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""incorrect"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}}, ""input_state"": {""47b394ed67eb4eed893793eb9255dc51_2_1"": {}}, ""last_submission_time"": ""2020-01-10T22:51:21Z"", ""attempts"": 2, ""score"": {""raw_possible"": 1, ""raw_earned"": 0}, ""done"": true, ""student_answers"": {""47b394ed67eb4eed893793eb9255dc51_2_1"": [""choice_0""]}, ""seed"": 1}"
ricardof,Multiple Choice,Taller 2: Simulaciones de experimentos aleatorios > Actividad 1: El problema de los nacimientos > El problema de los nacimientos #2 > Multiple Choice,,,,,block-v1:cmm+SYSMEPI01+2019_1+type@problem+block@47b394ed67eb4eed893793eb9255dc51,"{""score"": {""raw_earned"": 0, ""raw_possible"": 1}, ""seed"": 1, ""input_state"": {""47b394ed67eb4eed893793eb9255dc51_2_1"": {}}}"
yorsh,Multiple Choice,Taller 2: Simulaciones de experimentos aleatorios > Actividad 1: El problema de los nacimientos > El problema de los nacimientos #2 > Multiple Choice,47b394ed67eb4eed893793eb9255dc51_2_1,Pregunta 1,"c) Los estudiantes no entendieron las indicaciones para realizar la simulación concreta., d) Los valores de las frecuencias relativas que obtuvieron en la clase no fueron buenas aproximaciones de la probabilidad teórica.	","b) Los estudiantes no lograron conseguir suficientes datos reales de familias con cuatro hijos., d) Los valores de las frecuencias relativas que obtuvieron en la clase no fueron buenas aproximaciones de la probabilidad teórica.	",block-v1:cmm+SYSMEPI01+2019_1+type@problem+block@47b394ed67eb4eed893793eb9255dc51,"{""correct_map"": {""47b394ed67eb4eed893793eb9255dc51_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""incorrect"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}}, ""input_state"": {""47b394ed67eb4eed893793eb9255dc51_2_1"": {}}, ""last_submission_time"": ""2020-03-31T14:50:23Z"", ""attempts"": 2, ""score"": {""raw_possible"": 1, ""raw_earned"": 0}, ""done"": true, ""student_answers"": {""47b394ed67eb4eed893793eb9255dc51_2_1"": [""choice_2"", ""choice_3""]}, ""seed"": 1}"
