username,title,location,ID de la respuesta,Pregunta,Respuesta,Respuesta Correcta,block_key,state
ThomasPM,Multiple Choice,Taller 1: Nociones de probabilidad > Actividad 1: El juego de los dardos > El juego de los dardos #2 > Multiple Choice,61e27a8ef30447f8a91a8aaec996b382_2_1,Que sus estudiantes...,b) No quisieron participar de la actividad que propone.,c) No sabían distinguir en qué situaciones aplicar la regla de Laplace.,block-v1:cmm+SYSMEPI01+2019_1+type@problem+block@61e27a8ef30447f8a91a8aaec996b382,"{""correct_map"": {""61e27a8ef30447f8a91a8aaec996b382_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""incorrect"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}}, ""input_state"": {""61e27a8ef30447f8a91a8aaec996b382_2_1"": {}}, ""last_submission_time"": ""2019-12-03T14:22:55Z"", ""attempts"": 2, ""score"": {""raw_possible"": 1, ""raw_earned"": 0}, ""done"": true, ""student_answers"": {""61e27a8ef30447f8a91a8aaec996b382_2_1"": ""choice_1""}, ""seed"": 1}"
jromo,Multiple Choice,Taller 1: Nociones de probabilidad > Actividad 1: El juego de los dardos > El juego de los dardos #2 > Multiple Choice,,,,,block-v1:cmm+SYSMEPI01+2019_1+type@problem+block@61e27a8ef30447f8a91a8aaec996b382,"{""score"": {""raw_earned"": 0, ""raw_possible"": 1}, ""seed"": 1, ""input_state"": {""61e27a8ef30447f8a91a8aaec996b382_2_1"": {}}}"
UsuarioPruebaCMMEDU,Multiple Choice,Taller 1: Nociones de probabilidad > Actividad 1: El juego de los dardos > El juego de los dardos #2 > Multiple Choice,,,,,block-v1:cmm+SYSMEPI01+2019_1+type@problem+block@61e27a8ef30447f8a91a8aaec996b382,"{""score"": {""raw_earned"": 0, ""raw_possible"": 1}, ""seed"": 1, ""input_state"": {""61e27a8ef30447f8a91a8aaec996b382_2_1"": {}}}"
Camila_Brito,Multiple Choice,Taller 1: Nociones de probabilidad > Actividad 1: El juego de los dardos > El juego de los dardos #2 > Multiple Choice,,,,,block-v1:cmm+SYSMEPI01+2019_1+type@problem+block@61e27a8ef30447f8a91a8aaec996b382,"{""score"": {""raw_earned"": 0, ""raw_possible"": 1}, ""seed"": 1, ""input_state"": {""61e27a8ef30447f8a91a8aaec996b382_2_1"": {}}}"
ricardos,Multiple Choice,Taller 1: Nociones de probabilidad > Actividad 1: El juego de los dardos > El juego de los dardos #2 > Multiple Choice,,,,,block-v1:cmm+SYSMEPI01+2019_1+type@problem+block@61e27a8ef30447f8a91a8aaec996b382,"{""score"": {""raw_earned"": 0, ""raw_possible"": 1}, ""seed"": 1, ""input_state"": {""61e27a8ef30447f8a91a8aaec996b382_2_1"": {}}}"
Caro_Ticona,Multiple Choice,Taller 1: Nociones de probabilidad > Actividad 1: El juego de los dardos > El juego de los dardos #2 > Multiple Choice,61e27a8ef30447f8a91a8aaec996b382_2_1,Que sus estudiantes...,b) No quisieron participar de la actividad que propone.,c) No sabían distinguir en qué situaciones aplicar la regla de Laplace.,block-v1:cmm+SYSMEPI01+2019_1+type@problem+block@61e27a8ef30447f8a91a8aaec996b382,"{""correct_map"": {""61e27a8ef30447f8a91a8aaec996b382_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""incorrect"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}}, ""input_state"": {""61e27a8ef30447f8a91a8aaec996b382_2_1"": {}}, ""last_submission_time"": ""2020-01-23T23:49:59Z"", ""attempts"": 2, ""score"": {""raw_possible"": 1, ""raw_earned"": 0}, ""done"": true, ""student_answers"": {""61e27a8ef30447f8a91a8aaec996b382_2_1"": ""choice_1""}, ""seed"": 1}"
flavio,Multiple Choice,Taller 1: Nociones de probabilidad > Actividad 1: El juego de los dardos > El juego de los dardos #2 > Multiple Choice,61e27a8ef30447f8a91a8aaec996b382_2_1,Que sus estudiantes...,c) No sabían distinguir en qué situaciones aplicar la regla de Laplace.,c) No sabían distinguir en qué situaciones aplicar la regla de Laplace.,block-v1:cmm+SYSMEPI01+2019_1+type@problem+block@61e27a8ef30447f8a91a8aaec996b382,"{""correct_map"": {""61e27a8ef30447f8a91a8aaec996b382_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}}, ""input_state"": {""61e27a8ef30447f8a91a8aaec996b382_2_1"": {}}, ""last_submission_time"": ""2020-01-10T13:31:05Z"", ""attempts"": 1, ""score"": {""raw_earned"": 1, ""raw_possible"": 1}, ""done"": true, ""student_answers"": {""61e27a8ef30447f8a91a8aaec996b382_2_1"": ""choice_2""}, ""seed"": 1}"
Maritza,Multiple Choice,Taller 1: Nociones de probabilidad > Actividad 1: El juego de los dardos > El juego de los dardos #2 > Multiple Choice,61e27a8ef30447f8a91a8aaec996b382_2_1,Que sus estudiantes...,c) No sabían distinguir en qué situaciones aplicar la regla de Laplace.,c) No sabían distinguir en qué situaciones aplicar la regla de Laplace.,block-v1:cmm+SYSMEPI01+2019_1+type@problem+block@61e27a8ef30447f8a91a8aaec996b382,"{""correct_map"": {""61e27a8ef30447f8a91a8aaec996b382_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}}, ""input_state"": {""61e27a8ef30447f8a91a8aaec996b382_2_1"": {}}, ""last_submission_time"": ""2020-01-06T20:27:49Z"", ""attempts"": 2, ""score"": {""raw_possible"": 1, ""raw_earned"": 1}, ""done"": true, ""student_answers"": {""61e27a8ef30447f8a91a8aaec996b382_2_1"": ""choice_2""}, ""seed"": 1}"
stefanmoss,Multiple Choice,Taller 1: Nociones de probabilidad > Actividad 1: El juego de los dardos > El juego de los dardos #2 > Multiple Choice,,,,,block-v1:cmm+SYSMEPI01+2019_1+type@problem+block@61e27a8ef30447f8a91a8aaec996b382,"{""score"": {""raw_earned"": 0, ""raw_possible"": 1}, ""seed"": 1, ""input_state"": {""61e27a8ef30447f8a91a8aaec996b382_2_1"": {}}}"
ricardof,Multiple Choice,Taller 1: Nociones de probabilidad > Actividad 1: El juego de los dardos > El juego de los dardos #2 > Multiple Choice,61e27a8ef30447f8a91a8aaec996b382_2_1,Que sus estudiantes...,c) No sabían distinguir en qué situaciones aplicar la regla de Laplace.,c) No sabían distinguir en qué situaciones aplicar la regla de Laplace.,block-v1:cmm+SYSMEPI01+2019_1+type@problem+block@61e27a8ef30447f8a91a8aaec996b382,"{""correct_map"": {""61e27a8ef30447f8a91a8aaec996b382_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}}, ""input_state"": {""61e27a8ef30447f8a91a8aaec996b382_2_1"": {}}, ""last_submission_time"": ""2019-12-27T15:55:47Z"", ""attempts"": 1, ""score"": {""raw_earned"": 1, ""raw_possible"": 1}, ""done"": true, ""student_answers"": {""61e27a8ef30447f8a91a8aaec996b382_2_1"": ""choice_2""}, ""seed"": 1}"
