username,title,location,ID de la respuesta,Pregunta,Respuesta,Respuesta Correcta,block_key,state
felipe_espinoza,Trabajando con la medida y la medición,Trabajando con la medida y la medición,,,,,block-v1:cmm+SYSTMM01+2020_1+type@course+block@course,"{""position"": 2}"
ThomasPM,Trabajando con la medida y la medición,Trabajando con la medida y la medición,,,,,block-v1:cmm+SYSTMM01+2020_1+type@course+block@course,"{""position"": 11}"
jromo,Trabajando con la medida y la medición,Trabajando con la medida y la medición,,,,,block-v1:cmm+SYSTMM01+2020_1+type@course+block@course,"{""position"": 11}"
UsuarioPruebaCMMEDU,Trabajando con la medida y la medición,Trabajando con la medida y la medición,,,,,block-v1:cmm+SYSTMM01+2020_1+type@course+block@course,"{""position"": 10}"
Caro_Ticona,Trabajando con la medida y la medición,Trabajando con la medida y la medición,,,,,block-v1:cmm+SYSTMM01+2020_1+type@course+block@course,"{""position"": 10}"
JavieraOrtiz,Trabajando con la medida y la medición,Trabajando con la medida y la medición,,,,,block-v1:cmm+SYSTMM01+2020_1+type@course+block@course,"{""position"": 11}"
BeckyRC,Trabajando con la medida y la medición,Trabajando con la medida y la medición,,,,,block-v1:cmm+SYSTMM01+2020_1+type@course+block@course,"{""position"": 1}"
Diego_HF,Trabajando con la medida y la medición,Trabajando con la medida y la medición,,,,,block-v1:cmm+SYSTMM01+2020_1+type@course+block@course,"{""position"": 11}"
stefanmoss,Trabajando con la medida y la medición,Trabajando con la medida y la medición,,,,,block-v1:cmm+SYSTMM01+2020_1+type@course+block@course,"{""position"": 8}"
Daniela-Rojas,Trabajando con la medida y la medición,Trabajando con la medida y la medición,,,,,block-v1:cmm+SYSTMM01+2020_1+type@course+block@course,"{""position"": 1}"
Yaidor,Trabajando con la medida y la medición,Trabajando con la medida y la medición,,,,,block-v1:cmm+SYSTMM01+2020_1+type@course+block@course,"{""position"": 5}"
storo,Trabajando con la medida y la medición,Trabajando con la medida y la medición,,,,,block-v1:cmm+SYSTMM01+2020_1+type@course+block@course,"{""position"": 6}"
