username,title,location,ID de la respuesta,Pregunta,Respuesta,Respuesta Correcta,block_key,state
ThomasPM,Checkboxes,Taller 1: Reconociendo Patrones > Actividad 1: Patrones en la calle > Patrones en la calle #1 > Checkboxes,,,,,block-v1:cmm+SYSDPA01+2019_02+type@problem+block@393df93e342e416fbb0c73bb1fecd78c,"{""score"": {""raw_earned"": 0, ""raw_possible"": 1}, ""seed"": 1, ""input_state"": {""393df93e342e416fbb0c73bb1fecd78c_2_1"": {}}}"
matsalinas,Checkboxes,Taller 1: Reconociendo Patrones > Actividad 1: Patrones en la calle > Patrones en la calle #1 > Checkboxes,393df93e342e416fbb0c73bb1fecd78c_2_1,Pregunta 1,c) Siempre antes de una estrella amarilla hay un círculo verde.,"a) Siempre después de un corazón viene un círculo., b) Los colores amarillo y verde se presentan alternados en las figuras., c) Siempre antes de una estrella amarilla hay un círculo verde.",block-v1:cmm+SYSDPA01+2019_02+type@problem+block@393df93e342e416fbb0c73bb1fecd78c,"{""correct_map"": {""393df93e342e416fbb0c73bb1fecd78c_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""incorrect"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}}, ""input_state"": {""393df93e342e416fbb0c73bb1fecd78c_2_1"": {}}, ""last_submission_time"": ""2019-09-23T14:35:10Z"", ""attempts"": 2, ""score"": {""raw_possible"": 1, ""raw_earned"": 0}, ""done"": true, ""student_answers"": {""393df93e342e416fbb0c73bb1fecd78c_2_1"": [""choice_2""]}, ""seed"": 1}"
jromo,Checkboxes,Taller 1: Reconociendo Patrones > Actividad 1: Patrones en la calle > Patrones en la calle #1 > Checkboxes,,,,,block-v1:cmm+SYSDPA01+2019_02+type@problem+block@393df93e342e416fbb0c73bb1fecd78c,"{""score"": {""raw_earned"": 0, ""raw_possible"": 1}, ""seed"": 1, ""input_state"": {""393df93e342e416fbb0c73bb1fecd78c_2_1"": {}}}"
UsuarioPruebaCMMEDU,Checkboxes,Taller 1: Reconociendo Patrones > Actividad 1: Patrones en la calle > Patrones en la calle #1 > Checkboxes,,,,,block-v1:cmm+SYSDPA01+2019_02+type@problem+block@393df93e342e416fbb0c73bb1fecd78c,"{""score"": {""raw_earned"": 0, ""raw_possible"": 1}, ""seed"": 1, ""input_state"": {""393df93e342e416fbb0c73bb1fecd78c_2_1"": {}}}"
ricardos,Checkboxes,Taller 1: Reconociendo Patrones > Actividad 1: Patrones en la calle > Patrones en la calle #1 > Checkboxes,,,,,block-v1:cmm+SYSDPA01+2019_02+type@problem+block@393df93e342e416fbb0c73bb1fecd78c,"{""score"": {""raw_earned"": 0, ""raw_possible"": 1}, ""seed"": 1, ""input_state"": {""393df93e342e416fbb0c73bb1fecd78c_2_1"": {}}}"
Paulita_Flor,Checkboxes,Taller 1: Reconociendo Patrones > Actividad 1: Patrones en la calle > Patrones en la calle #1 > Checkboxes,,,,,block-v1:cmm+SYSDPA01+2019_02+type@problem+block@393df93e342e416fbb0c73bb1fecd78c,"{""score"": {""raw_earned"": 0, ""raw_possible"": 1}, ""seed"": 1, ""input_state"": {""393df93e342e416fbb0c73bb1fecd78c_2_1"": {}}}"
Caro_Ticona,Checkboxes,Taller 1: Reconociendo Patrones > Actividad 1: Patrones en la calle > Patrones en la calle #1 > Checkboxes,393df93e342e416fbb0c73bb1fecd78c_2_1,Pregunta 1,b) Los colores amarillo y verde se presentan alternados en las figuras.,"a) Siempre después de un corazón viene un círculo., b) Los colores amarillo y verde se presentan alternados en las figuras., c) Siempre antes de una estrella amarilla hay un círculo verde.",block-v1:cmm+SYSDPA01+2019_02+type@problem+block@393df93e342e416fbb0c73bb1fecd78c,"{""correct_map"": {""393df93e342e416fbb0c73bb1fecd78c_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""incorrect"", ""npoints"": null, ""answervariable"": null, ""msg"": """", ""queuestate"": null}}, ""input_state"": {""393df93e342e416fbb0c73bb1fecd78c_2_1"": {}}, ""last_submission_time"": ""2020-01-06T19:55:20Z"", ""attempts"": 2, ""score"": {""raw_possible"": 1, ""raw_earned"": 0}, ""done"": true, ""student_answers"": {""393df93e342e416fbb0c73bb1fecd78c_2_1"": [""choice_1""]}, ""seed"": 1}"
SebastianPM,Checkboxes,Taller 1: Reconociendo Patrones > Actividad 1: Patrones en la calle > Patrones en la calle #1 > Checkboxes,,,,,block-v1:cmm+SYSDPA01+2019_02+type@problem+block@393df93e342e416fbb0c73bb1fecd78c,"{""score"": {""raw_earned"": 0, ""raw_possible"": 1}, ""seed"": 1, ""input_state"": {""393df93e342e416fbb0c73bb1fecd78c_2_1"": {}}}"
ricardof,Checkboxes,Taller 1: Reconociendo Patrones > Actividad 1: Patrones en la calle > Patrones en la calle #1 > Checkboxes,393df93e342e416fbb0c73bb1fecd78c_2_1,Pregunta 1,"a) Siempre después de un corazón viene un círculo., b) Los colores amarillo y verde se presentan alternados en las figuras., c) Siempre antes de una estrella amarilla hay un círculo verde.","a) Siempre después de un corazón viene un círculo., b) Los colores amarillo y verde se presentan alternados en las figuras., c) Siempre antes de una estrella amarilla hay un círculo verde.",block-v1:cmm+SYSDPA01+2019_02+type@problem+block@393df93e342e416fbb0c73bb1fecd78c,"{""correct_map"": {""393df93e342e416fbb0c73bb1fecd78c_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}}, ""input_state"": {""393df93e342e416fbb0c73bb1fecd78c_2_1"": {}}, ""last_submission_time"": ""2020-03-08T11:32:43Z"", ""attempts"": 1, ""score"": {""raw_earned"": 1, ""raw_possible"": 1}, ""done"": true, ""student_answers"": {""393df93e342e416fbb0c73bb1fecd78c_2_1"": [""choice_0"", ""choice_1"", ""choice_2""]}, ""seed"": 1}"
scmosjos,Checkboxes,Taller 1: Reconociendo Patrones > Actividad 1: Patrones en la calle > Patrones en la calle #1 > Checkboxes,393df93e342e416fbb0c73bb1fecd78c_2_1,Pregunta 1,"a) Siempre después de un corazón viene un círculo., b) Los colores amarillo y verde se presentan alternados en las figuras., c) Siempre antes de una estrella amarilla hay un círculo verde.","a) Siempre después de un corazón viene un círculo., b) Los colores amarillo y verde se presentan alternados en las figuras., c) Siempre antes de una estrella amarilla hay un círculo verde.",block-v1:cmm+SYSDPA01+2019_02+type@problem+block@393df93e342e416fbb0c73bb1fecd78c,"{""correct_map"": {""393df93e342e416fbb0c73bb1fecd78c_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}}, ""input_state"": {""393df93e342e416fbb0c73bb1fecd78c_2_1"": {}}, ""last_submission_time"": ""2020-03-09T19:22:44Z"", ""attempts"": 1, ""score"": {""raw_earned"": 1, ""raw_possible"": 1}, ""done"": true, ""student_answers"": {""393df93e342e416fbb0c73bb1fecd78c_2_1"": [""choice_0"", ""choice_1"", ""choice_2""]}, ""seed"": 1}"
ThomasPM,Multiple Choice,Taller 1: Reconociendo Patrones > Actividad 1: Patrones en la calle > Patrones en la calle #1 > Multiple Choice,,,,,block-v1:cmm+SYSDPA01+2019_02+type@problem+block@e52d679557ab42068a0252edc316d745,"{""score"": {""raw_earned"": 0, ""raw_possible"": 1}, ""seed"": 1, ""input_state"": {""e52d679557ab42068a0252edc316d745_2_1"": {}}}"
matsalinas,Multiple Choice,Taller 1: Reconociendo Patrones > Actividad 1: Patrones en la calle > Patrones en la calle #1 > Multiple Choice,e52d679557ab42068a0252edc316d745_2_1,Pregunta 1,No,No,block-v1:cmm+SYSDPA01+2019_02+type@problem+block@e52d679557ab42068a0252edc316d745,"{""correct_map"": {""e52d679557ab42068a0252edc316d745_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}}, ""input_state"": {""e52d679557ab42068a0252edc316d745_2_1"": {}}, ""last_submission_time"": ""2019-09-23T18:37:45Z"", ""attempts"": 1, ""score"": {""raw_earned"": 1, ""raw_possible"": 1}, ""done"": true, ""student_answers"": {""e52d679557ab42068a0252edc316d745_2_1"": ""choice_1""}, ""seed"": 1}"
jromo,Multiple Choice,Taller 1: Reconociendo Patrones > Actividad 1: Patrones en la calle > Patrones en la calle #1 > Multiple Choice,,,,,block-v1:cmm+SYSDPA01+2019_02+type@problem+block@e52d679557ab42068a0252edc316d745,"{""score"": {""raw_earned"": 0, ""raw_possible"": 1}, ""seed"": 1, ""input_state"": {""e52d679557ab42068a0252edc316d745_2_1"": {}}}"
UsuarioPruebaCMMEDU,Multiple Choice,Taller 1: Reconociendo Patrones > Actividad 1: Patrones en la calle > Patrones en la calle #1 > Multiple Choice,,,,,block-v1:cmm+SYSDPA01+2019_02+type@problem+block@e52d679557ab42068a0252edc316d745,"{""score"": {""raw_earned"": 0, ""raw_possible"": 1}, ""seed"": 1, ""input_state"": {""e52d679557ab42068a0252edc316d745_2_1"": {}}}"
ricardos,Multiple Choice,Taller 1: Reconociendo Patrones > Actividad 1: Patrones en la calle > Patrones en la calle #1 > Multiple Choice,,,,,block-v1:cmm+SYSDPA01+2019_02+type@problem+block@e52d679557ab42068a0252edc316d745,"{""score"": {""raw_earned"": 0, ""raw_possible"": 1}, ""seed"": 1, ""input_state"": {""e52d679557ab42068a0252edc316d745_2_1"": {}}}"
Paulita_Flor,Multiple Choice,Taller 1: Reconociendo Patrones > Actividad 1: Patrones en la calle > Patrones en la calle #1 > Multiple Choice,,,,,block-v1:cmm+SYSDPA01+2019_02+type@problem+block@e52d679557ab42068a0252edc316d745,"{""score"": {""raw_earned"": 0, ""raw_possible"": 1}, ""seed"": 1, ""input_state"": {""e52d679557ab42068a0252edc316d745_2_1"": {}}}"
Caro_Ticona,Multiple Choice,Taller 1: Reconociendo Patrones > Actividad 1: Patrones en la calle > Patrones en la calle #1 > Multiple Choice,e52d679557ab42068a0252edc316d745_2_1,Pregunta 1,No,No,block-v1:cmm+SYSDPA01+2019_02+type@problem+block@e52d679557ab42068a0252edc316d745,"{""correct_map"": {""e52d679557ab42068a0252edc316d745_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}}, ""input_state"": {""e52d679557ab42068a0252edc316d745_2_1"": {}}, ""last_submission_time"": ""2020-01-10T20:24:07Z"", ""attempts"": 1, ""score"": {""raw_earned"": 1, ""raw_possible"": 1}, ""done"": true, ""student_answers"": {""e52d679557ab42068a0252edc316d745_2_1"": ""choice_1""}, ""seed"": 1}"
SebastianPM,Multiple Choice,Taller 1: Reconociendo Patrones > Actividad 1: Patrones en la calle > Patrones en la calle #1 > Multiple Choice,,,,,block-v1:cmm+SYSDPA01+2019_02+type@problem+block@e52d679557ab42068a0252edc316d745,"{""score"": {""raw_earned"": 0, ""raw_possible"": 1}, ""seed"": 1, ""input_state"": {""e52d679557ab42068a0252edc316d745_2_1"": {}}}"
ricardof,Multiple Choice,Taller 1: Reconociendo Patrones > Actividad 1: Patrones en la calle > Patrones en la calle #1 > Multiple Choice,e52d679557ab42068a0252edc316d745_2_1,Pregunta 1,No,No,block-v1:cmm+SYSDPA01+2019_02+type@problem+block@e52d679557ab42068a0252edc316d745,"{""correct_map"": {""e52d679557ab42068a0252edc316d745_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}}, ""input_state"": {""e52d679557ab42068a0252edc316d745_2_1"": {}}, ""last_submission_time"": ""2020-03-08T11:38:09Z"", ""attempts"": 1, ""score"": {""raw_earned"": 1, ""raw_possible"": 1}, ""done"": true, ""student_answers"": {""e52d679557ab42068a0252edc316d745_2_1"": ""choice_1""}, ""seed"": 1}"
scmosjos,Multiple Choice,Taller 1: Reconociendo Patrones > Actividad 1: Patrones en la calle > Patrones en la calle #1 > Multiple Choice,e52d679557ab42068a0252edc316d745_2_1,Pregunta 1,No,No,block-v1:cmm+SYSDPA01+2019_02+type@problem+block@e52d679557ab42068a0252edc316d745,"{""correct_map"": {""e52d679557ab42068a0252edc316d745_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}}, ""input_state"": {""e52d679557ab42068a0252edc316d745_2_1"": {}}, ""last_submission_time"": ""2020-03-09T19:28:01Z"", ""attempts"": 1, ""score"": {""raw_earned"": 1, ""raw_possible"": 1}, ""done"": true, ""student_answers"": {""e52d679557ab42068a0252edc316d745_2_1"": ""choice_1""}, ""seed"": 1}"
ThomasPM,freetextresponse,Taller 1: Reconociendo Patrones > Actividad 1: Patrones en la calle > Patrones en la calle #1 > freetextresponse,,,,,block-v1:cmm+SYSDPA01+2019_02+type@freetextresponse+block@55e5a63fb19141688291e3be967fd050,"{""score"": 0.0, ""student_answer"": """"}"
matsalinas,freetextresponse,Taller 1: Reconociendo Patrones > Actividad 1: Patrones en la calle > Patrones en la calle #1 > freetextresponse,,,,,block-v1:cmm+SYSDPA01+2019_02+type@freetextresponse+block@55e5a63fb19141688291e3be967fd050,"{""student_answer"": ""ghjdjdghhjddgj"", ""score"": 1.0, ""count_attempts"": 1}"
Caro_Ticona,freetextresponse,Taller 1: Reconociendo Patrones > Actividad 1: Patrones en la calle > Patrones en la calle #1 > freetextresponse,,,,,block-v1:cmm+SYSDPA01+2019_02+type@freetextresponse+block@55e5a63fb19141688291e3be967fd050,"{""student_answer"": ""nlkjhcyfgvbknm l,"", ""score"": 1.0, ""count_attempts"": 1}"
ricardof,freetextresponse,Taller 1: Reconociendo Patrones > Actividad 1: Patrones en la calle > Patrones en la calle #1 > freetextresponse,,,,,block-v1:cmm+SYSDPA01+2019_02+type@freetextresponse+block@55e5a63fb19141688291e3be967fd050,"{""student_answer"": ""fdsvdfsvdfvsdfvsdfvvds"", ""score"": 1.0, ""count_attempts"": 1}"
scmosjos,freetextresponse,Taller 1: Reconociendo Patrones > Actividad 1: Patrones en la calle > Patrones en la calle #1 > freetextresponse,,,,,block-v1:cmm+SYSDPA01+2019_02+type@freetextresponse+block@55e5a63fb19141688291e3be967fd050,"{""student_answer"": ""asdfghjkld"", ""score"": 1.0, ""count_attempts"": 1}"
ThomasPM,Multiple Choice,Taller 1: Reconociendo Patrones > Actividad 1: Patrones en la calle > Patrones en la calle #1 > Multiple Choice,,,,,block-v1:cmm+SYSDPA01+2019_02+type@problem+block@e5b00c8e8ce94051b7ae35ba46839bfe,"{""score"": {""raw_earned"": 0, ""raw_possible"": 1}, ""seed"": 1, ""input_state"": {""e5b00c8e8ce94051b7ae35ba46839bfe_2_1"": {}}}"
matsalinas,Multiple Choice,Taller 1: Reconociendo Patrones > Actividad 1: Patrones en la calle > Patrones en la calle #1 > Multiple Choice,e5b00c8e8ce94051b7ae35ba46839bfe_2_1,Pregunta 1,No,No,block-v1:cmm+SYSDPA01+2019_02+type@problem+block@e5b00c8e8ce94051b7ae35ba46839bfe,"{""correct_map"": {""e5b00c8e8ce94051b7ae35ba46839bfe_2_1"": {""hint"": """", ""hintmode"": null, ""correctness"": ""correct"", ""msg"": """", ""answervariable"": null, ""npoints"": null, ""queuestate"": null}}, ""input_state"": {""e5b00c8e8ce94051b7ae35ba46839bfe_2_1"": {}}, ""last_submission_time"": ""2019-09-23T18:37:50Z"", ""attempts"": 1, ""score"": {""raw_earned"": 1, ""raw_possible"": 1}, ""done"": true, ""student_answers"": {""e5b00c8e8ce94051b7ae35ba46839bfe_2_1"": ""choice_1""}, ""seed"": 1}"
